podcast_name,writer,link,language,country,category,episodes,publish_date,ListenScore,top_rank
Akimbo: A Podcast from Seth Godin,Seth Godin,https://www.listennotes.com/podcasts/akimbo-a-podcast-from-seth-godin-seth-godin-UMfQjgIqTtJ/,English,United States,"['Marketing', 'Philosophy', 'Business', 'Design', 'Society & Culture']",205,2018,66,0.05
The Great Books,National Review,https://www.listennotes.com/podcasts/the-great-books-national-review-Rhl4x8tLbzp/,English,United States,"['Arts', 'Books', 'Education', 'Higher Education']",11,2021,60,0.5
Decoder with Nilay Patel,The Verge,https://www.listennotes.com/podcasts/decoder-with-nilay-patel-the-verge-8himIA5jU-o/,English,United States,"['Technology', 'Entrepreneurship', 'Business', 'Tech News', 'Startup']",634,2015,68,0.05
a16z Podcast,Andreessen Horowitz,https://www.listennotes.com/podcasts/a16z-podcast-andreessen-horowitz-IWF2alEr-9h/,English,United States,"['Technology', 'Business', 'Crypto & Blockchain', 'Venture Capital', 'Startup', 'Management', 'Tech News']",266,2018,62,0.1
"Sean Carroll's Mindscape: Science, Society, Philosophy, Culture, Arts, and Ideas",Sean Carroll | Wondery,https://www.listennotes.com/podcasts/sean-carrolls-mindscape-science-society-Lt8FqZeWIMU/,English,United States,"['Society & Culture', 'Science']",201,2018,69,0.05
How C*m,Remy Kassimir,https://www.listennotes.com/podcasts/how-cm-remy-kassimir-jHl-KgWNkfY/,English,United States,"['Health & Fitness', 'Self-Help', 'Sexuality', 'Comedy']",156,2017,60,0.5
Philosophy Bites,Edmonds and Warburton,https://www.listennotes.com/podcasts/philosophy-bites-edmonds-and-warburton-dOq4EK0PhFb/,English,United States,"['Philosophy', 'Arts']",351,2007,64,0.1
"Robb Wolf - The Paleo Solution Podcast - Paleo diet, nutrition, fitness, and health",Robb Wolf,https://www.listennotes.com/podcasts/robb-wolf-the-paleo-solution-podcast-paleo-gbvSh_rXcBZ/,English,United States,"['Health & Fitness', 'Fitness']",464,2009,65,0.1
The Generation Why Podcast,Wondery,https://www.listennotes.com/podcasts/the-generation-why-podcast-wondery-eSYyNZBdifR/,English,United States,"['True Crime', 'Fiction', 'Science', 'Social Sciences', 'Society & Culture', 'Personal Journals']",371,2014,80,0.01
Dark Tank with Yedoye Travis,Forever Dog / Brain Machine,https://www.listennotes.com/podcasts/dark-tank-with-yedoye-travis-forever-dog-yaQ35nXBfmK/,English,United States,"['Comedy', 'Society & Culture', 'Education']",74,2018,44,1.5
Mujeres que no fueron tapa,Wetoker,https://www.listennotes.com/podcasts/mujeres-que-no-fueron-tapa-wetoker-UfDNqgSaOoG/,Spanish,United States,"['Philosophy', 'Society & Culture']",35,2017,30,10
The Daily,The New York Times,https://www.listennotes.com/podcasts/the-daily-the-new-york-times-xp7nhsmSkX2/,English,United States,"['Daily News', 'News', 'Politics', 'Business']",1417,2017,91,0.01
The Art of Manliness,The Art of Manliness,https://www.listennotes.com/podcasts/the-art-of-manliness-the-art-of-manliness-Y3SWq5ahtEy/,English,United States,"['Society & Culture', 'Philosophy']",781,2014,76,0.01
The Rich Roll Podcast,Rich Roll,https://www.listennotes.com/podcasts/the-rich-roll-podcast-rich-roll-T1Kd_QXu3Ha/,English,United States,"['Running', 'Health & Fitness', 'Fitness', 'Alternative Health', 'Self-Help']",652,2012,77,0.01
I'm Tired,Grace Valentine,https://www.listennotes.com/podcasts/im-tired-grace-valentine-rdiEgzm3leO/,English,United States,['Society & Culture'],22,2019,52,0.5
Truth & Justice with Bob Ruff,NBI Studios,https://www.listennotes.com/podcasts/truth-justice-with-bob-ruff-nbi-studios-gwxiBtHWcRV/,English,United States,"['True Crime', 'News']",600,2015,71,0.05
Somebody Somewhere,RainStream Media,https://www.listennotes.com/podcasts/somebody-somewhere-rainstream-media-nkoqcxKg5A6/,English,United States,"['True Crime', 'TV & Film', 'News', 'Technology', 'Podcasting']",43,2018,60,0.5
The Rachel Maddow Show,"Rachel Maddow, MSNBC",https://www.listennotes.com/podcasts/the-rachel-maddow-show-rachel-maddow-msnbc-Mj6cDChgasT/,English,United States,"['Politics', 'News']",13,2018,81,0.01
The Twelve Six Podcast,Collin McHugh,https://www.listennotes.com/podcasts/the-twelve-six-podcast-collin-mchugh-9jM5KmvFpEa/,English,United States,"['Society & Culture', 'Leisure', 'Sports']",26,2018,56,0.5
Lead Singer Syndrome with Shane Told,Shane Told,https://www.listennotes.com/podcasts/lead-singer-syndrome-with-shane-told-shane-WaJ3F7qKQ_X/,English,United States,['Music'],380,2015,60,0.5
Now What?! with Jessica Nickson,PodcastOne / The Direct Message,https://www.listennotes.com/podcasts/now-what-with-jessica-nickson-podcastone-_opO0WCVANe/,English,United States,"['Kids & Family', 'Society & Culture', 'TV & Film']",88,2018,62,0.1
Showtime Boxing with Raskin & Mulvaney,Showtime,https://www.listennotes.com/podcasts/showtime-boxing-with-raskin-mulvaney-showtime-VmknubyJx-Y/,English,United States,"['Professional', 'Sports']",199,2018,45,1
Duolingo Spanish Podcast,Duolingo,https://www.listennotes.com/podcasts/duolingo-spanish-podcast-duolingo-1tk6Hi0prPc/,English,United States,"['Language Learning', 'Education', 'Society & Culture', 'Places & Travel']",114,2017,76,0.01
Before the Grumps,Before the Grumps - A Game Grumps Podcast,https://www.listennotes.com/podcasts/before-the-grumps-before-the-grumps-a-game-KTktujMLE4H/,English,United States,['Comedy'],3,2016,53,0.5
FoundMyFitness,"Rhonda Patrick, Ph.D.",https://www.listennotes.com/podcasts/foundmyfitness-rhonda-patrick-phd-KrOSBoG6QhZ/,English,United States,"['Health & Fitness', 'Fitness', 'Sports', 'Science', 'Medicine']",127,2014,71,0.05
Dr. Ben Edwards: You’re the Cure,Veritas Medical,https://www.listennotes.com/podcasts/dr-ben-edwards-youre-the-cure-veritas-medical-Jis3ZDqIEr0/,English,United States,"['Health & Fitness', 'Alternative Health']",206,2017,45,1
The Pitino Press,Rick Pitino,https://www.listennotes.com/podcasts/the-pitino-press-rick-pitino-LYZs1hip47_/,English,United States,"['College & High School', 'Professional', 'Sports']",10,2018,42,1.5
Phil in the Blanks,Stage 29 Podcast Productions,https://www.listennotes.com/podcasts/phil-in-the-blanks-stage-29-podcast-FW6N_0oM2Gk/,English,United States,"['Society & Culture', 'Self-Improvement', 'Education', 'TV & Film']",110,2018,74,0.05
The Peter Attia Drive,"Peter Attia, MD",https://www.listennotes.com/podcasts/the-peter-attia-drive-peter-attia-md-wZuOjcLM8sF/,English,United States,"['Medicine', 'Science', 'Fitness', 'Health & Fitness']",227,2018,71,0.05
The John Maxwell Leadership Podcast,John Maxwell,https://www.listennotes.com/podcasts/the-john-maxwell-leadership-podcast-john-ZN5RIsqPyVj/,English,United States,"['Education', 'Business']",217,2018,63,0.1
Context with Brad Harris,"Brad Harris, Historian",https://www.listennotes.com/podcasts/context-with-brad-harris-brad-harris-opMraG_37Jb/,English,United States,"['History', 'Society & Culture', 'Education']",30,2018,54,0.5
Two for Tea with Iona Italia and Helen Pluckrose,Iona Italia and Helen Pluckrose,https://www.listennotes.com/podcasts/two-for-tea-with-iona-italia-and-helen-fKh1RNXjqz7/,English,United States,['News'],116,2018,41,1.5
Longform,Longform,https://www.listennotes.com/podcasts/longform-longform-6bKOqckaIdV/,English,United States,"['Storytelling', 'News', 'Arts', 'Books', 'Society & Culture']",508,2012,65,0.1
Cooking By Ear,Studio To Be,https://www.listennotes.com/podcasts/cooking-by-ear-studio-to-be-Gql8WSYBoex/,English,United States,"['Arts', 'Food']",10,2018,46,1
Neaux Nonsense,Neaux Nonsense Podcast,https://www.listennotes.com/podcasts/neaux-nonsense-neaux-nonsense-podcast-PEzobyLmDJi/,English,United States,"['Self-Help', 'Health & Fitness']",14,2018,27,10
Dan Carlin's Hardcore History,Dan Carlin,https://www.listennotes.com/podcasts/dan-carlins-hardcore-history-dan-carlin-THDlEiZ9tbB/,English,United States,"['History', 'Education', 'True Crime', 'TV & Film', 'Society & Culture']",12,2015,90,0.01
Timesuck with Dan Cummins,Dan Cummins,https://www.listennotes.com/podcasts/timesuck-with-dan-cummins-dan-cummins-QHE-SeX1x_K/,English,United States,"['Comedy', 'Society & Culture', 'Education', 'History']",303,2016,78,0.01
The Michael Savage Show,Michael Savage,https://www.listennotes.com/podcasts/the-michael-savage-show-michael-savage-oTzfFUMv_D0/,English,United States,['News'],391,2019,72,0.05
Planet Money,NPR,https://www.listennotes.com/podcasts/planet-money-npr-rpiVMNQ5Z8n/,English,United States,"['Personal Finance', 'Business', 'Education', 'Science', 'News', 'Investing']",509,2017,85,0.01
Reader's Corner,Bob Kustra,https://www.listennotes.com/podcasts/readers-corner-bob-kustra-RqfVA_mYpH3/,English,United States,"['Arts', 'Books']",54,2020,32,5
آموزش سلامت و لذت جنسی برای همه,Avishan,https://www.listennotes.com/podcasts/آموزش-سلامت-و-لذت-جنسی-برای-همه-avishan-VFfQbwOCKg0/,Farsi,United States,['Education'],62,2017,39,2
The Knowledge Project with Shane Parrish,Farnam Street,https://www.listennotes.com/podcasts/the-knowledge-project-with-shane-parrish-RoXxgNCyDmE/,English,United States,"['Investing', 'Self-Help', 'Education', 'Business', 'Society & Culture', 'Philosophy', 'Health & Fitness']",127,2015,69,0.05
Guys We F****d,Corinne Fisher and Krystyna Hutchinson,https://www.listennotes.com/podcasts/guys-we-fd-corinne-fisher-and-krystyna-S4iecUuYCzw/,English,United States,"['Relationships', 'Comedy', 'Sexuality']",368,2014,80,0.01
Acquired,Ben Gilbert and David Rosenthal,https://www.listennotes.com/podcasts/acquired-ben-gilbert-and-david-rosenthal-9pne_5jCY2u/,English,United States,"['Business', 'Venture Capital', 'Startup', 'Education', 'Investing', 'Technology']",150,2015,62,0.1
"Foodist with Darya Rose, Ph.D","Darya Rose, Ph.D",https://www.listennotes.com/podcasts/foodist-with-darya-rose-phd-darya-rose-phd-WMCT7bkqLIF/,English,United States,['Health & Fitness'],72,2016,43,1.5
Conversations with Tyler,Mercatus Center at George Mason University,https://www.listennotes.com/podcasts/conversations-with-tyler-mercatus-center-at-LRMWNKAThUg/,English,United States,['Society & Culture'],149,2015,64,0.1
The Tim Ferriss Show,"Tim Ferriss: Bestselling Author, Human Guinea Pig",https://www.listennotes.com/podcasts/the-tim-ferriss-show-tim-ferriss-7NwMpUz5o0S/,English,United States,"['Business', 'Entrepreneurship', 'Marketing', 'Self-Help', 'Education', 'Health & Fitness', 'Careers', 'Investing', 'Startup', 'Personal Finance']",566,2014,81,0.01
HEAVY CHECKLIST,HEAVY D,https://www.listennotes.com/podcasts/heavy-checklist-heavy-d-7YFle3y1djL/,English,United States,['Business'],33,2018,69,0.05
TRAINED,Nike,https://www.listennotes.com/podcasts/trained-nike-XW6LepyR8Gr/,English,United States,"['Fitness', 'Society & Culture', 'Health & Fitness', 'Sports']",81,2018,65,0.1
Bill Cunningham on 700WLW,700WLW (WLW-AM),https://www.listennotes.com/podcasts/bill-cunningham-on-700wlw-700wlw-wlw-am-XObqUQ6jHu_/,English,United States,['News'],1000,2017,48,1
LifeAfter,GE Podcast Theater / Panoply / The Message,https://www.listennotes.com/podcasts/lifeafter-ge-podcast-theater-panoply-the-nmliq0K_HOD/,English,United States,"['Audio Drama', 'Fiction', 'Arts', 'Performing Arts']",22,2015,68,0.05
S-Town,Serial Productions,https://www.listennotes.com/podcasts/s-town-serial-productions-Y0lowXcvfOh/,English,United States,"['True Crime', 'Personal Journals', 'Society & Culture', 'TV & Film']",7,2017,86,0.01
Armchair Expert Umbrella with Dax Shepard,Armchair Umbrella,https://www.listennotes.com/podcasts/armchair-expert-umbrella-with-dax-shepard-DNVvf-Jygxn/,English,United States,"['Science', 'Comedy', 'Health & Fitness', 'TV & Film', 'Music']",383,2018,89,0.01
Enigmas sin resolver,Univision,https://www.listennotes.com/podcasts/enigmas-sin-resolver-univision-zJPgOkBynR0/,Spanish,United States,"['History', 'Society & Culture', 'Performing Arts', 'Arts', 'Religion & Spirituality']",294,2018,63,0.1
Rationally Speaking Podcast,New York City Skeptics,https://www.listennotes.com/podcasts/rationally-speaking-podcast-new-york-city-povgmt8OIV3/,English,United States,"['Education', 'Science', 'Social Sciences', 'Natural Sciences', 'Society & Culture', 'Philosophy']",263,2010,59,0.5
Born to Impact,Joel Marion,https://www.listennotes.com/podcasts/born-to-impact-joel-marion-ZNQ5bpmKYFG/,English,United States,"['Investing', 'Management', 'Business', 'Self-Help', 'Health & Fitness']",94,2018,69,0.05
Village Global's Venture Stories,Village Global,https://www.listennotes.com/podcasts/village-globals-venture-stories-village-Zbiejgx0l-F/,English,United States,"['Venture Capital', 'Startup', 'Business', 'Management', 'Investing', 'Technology', 'Tech News']",572,2017,46,1
The Kevin Rose Show,Kevin Rose,https://www.listennotes.com/podcasts/the-kevin-rose-show-kevin-rose-GtV_fXwadQN/,English,United States,"['Technology', 'Society & Culture', 'Health & Fitness', 'Venture Capital']",64,2016,65,0.1
Katie's Crib,Shondaland Audio and iHeartRadio,https://www.listennotes.com/podcasts/katies-crib-shondaland-audio-and-iheartradio-QtY04LS8rIk/,English,United States,"['Health & Fitness', 'Society & Culture', 'Kids & Family']",95,2018,48,1
The Billy Madison Show Podcast,Cox Media Group San Antonio,https://www.listennotes.com/podcasts/the-billy-madison-show-podcast-cox-media-EKkMJ3zirh4/,English,United States,['Comedy'],1357,2017,56,0.5
Marvel's Hawkeye Podcast from Defenders TV Podcast,"Chris Jones, Derek O'Neill and John Harrison. TV Podcast Industries",https://www.listennotes.com/podcasts/marvels-hawkeye-podcast-from-defenders-tv--iF1OaP9tHB/,English,United States,['TV & Film'],265,2015,41,1.5
First Take,"ESPN, Stephen A. Smith, Molly Qerim Rose",https://www.listennotes.com/podcasts/first-take-espn-stephen-a-smith-molly-qerim-FkmfJnDuCWT/,English,United States,['Sports'],487,2021,67,0.05
The Ron Burgundy Podcast,Big Money Players and iHeartRadio,https://www.listennotes.com/podcasts/the-ron-burgundy-podcast-big-money-players-IwXmvjtAH5O/,English,United States,"['Comedy', 'Society & Culture', 'TV & Film']",68,2019,76,0.01
Essential Oil Solutions with doTERRA,doTERRA,https://www.listennotes.com/podcasts/essential-oil-solutions-with-doterra-doterra-OKxHyumYLXs/,English,United States,"['Kids & Family', 'Education', 'Alternative Health', 'Health & Fitness']",203,2019,55,0.5
MANIFEST THIS with Ashley Wood,Ashley Wood,https://www.listennotes.com/podcasts/manifest-this-with-ashley-wood-ashley-wood-3NC59px18dw/,English,United States,['Society & Culture'],6,2019,55,0.5
The Regrettable Century,"Chris, Kevin, Jason, and Jess",https://www.listennotes.com/podcasts/the-regrettable-century-chris-kevin-jason-e26LqfjAX5G/,English,United States,"['Society & Culture', 'Government', 'News']",128,2018,43,1.5
Tech Talk with Alan Perry,Alan Perry,https://www.listennotes.com/podcasts/tech-talk-with-alan-perry-alan-perry-UeHXkr_zB1D/,English,United States,['Technology'],22,2021,40,2
The Bible Recap,D-Group,https://www.listennotes.com/podcasts/the-bible-recap-d-group-emDu1RrPJtn/,English,United States,"['Christianity', 'Religion & Spirituality']",1186,2018,76,0.01
Crime Junkie,audiochuck,https://www.listennotes.com/podcasts/crime-junkie-audiochuck-BWDcryRL6xl/,English,United States,"['True Crime', 'Technology', 'Podcasting']",436,2017,98,0.01
Welcome to Night Vale,Night Vale Presents,https://www.listennotes.com/podcasts/welcome-to-night-vale-night-vale-presents-UTqHIR-J2OW/,English,United States,"['Fiction', 'Books', 'TV & Film', 'Kids & Family', 'Storytelling', 'Audio Drama', 'Arts', 'Performing Arts', 'Comedy', 'LGBTQ', 'Society & Culture', 'YouTube', 'True Crime']",261,2012,84,0.01
Every Little Thing,Gimlet,https://www.listennotes.com/podcasts/every-little-thing-gimlet-hLpXckxAWgR/,English,United States,"['Education', 'Natural Sciences', 'Science', 'Management']",170,2017,71,0.05
Last Seen,WBUR,https://www.listennotes.com/podcasts/last-seen-wbur-TYQCNz-WrGI/,English,United States,"['True Crime', 'Arts', 'Society & Culture']",21,2018,68,0.05
Beginner,Misha Euceph,https://www.listennotes.com/podcasts/beginner-misha-euceph-XdS7rMGZmkj/,English,United States,"['Society & Culture', 'Personal Journals', 'Comedy']",10,2016,40,2
YOU ARE LUMINOUS,Kristen Csuhran,https://www.listennotes.com/podcasts/you-are-luminous-kristen-csuhran-zKNDcmgvF1R/,English,United States,['Religion & Spirituality'],191,2017,46,1
Julie: The Unwinding of the Miracle,Pineapple Street Media,https://www.listennotes.com/podcasts/julie-the-unwinding-of-the-miracle-afGT1lRqo3i/,English,United States,['Health & Fitness'],5,2019,60,0.5
Conspiracy Theories & Unpopular Culture,Isaac Weishaupt,https://www.listennotes.com/podcasts/conspiracy-theories-unpopular-culture-isaac-AM1fUk_buvI/,English,United States,"['Society & Culture', 'Personal Journals']",402,2014,64,0.1
How I Built This with Guy Raz,NPR,https://www.listennotes.com/podcasts/how-i-built-this-with-guy-raz-npr-UC0qH23iP9T/,English,United States,"['Business', 'Technology', 'Entrepreneurship', 'Fashion & Beauty', 'Careers', 'Marketing', 'Self-Help', 'Startup']",394,2016,85,0.01
Lore,Aaron Mahnke and Grim & Mild,https://www.listennotes.com/podcasts/lore-aaron-mahnke-and-grim-mild-5ejdVAUClcP/,English,United States,"['True Crime', 'Books', 'Education', 'TV & Film', 'History', 'Society & Culture', 'Arts', 'Storytelling', 'Fiction', 'Food']",212,2015,87,0.01
Talking Elite Fitness,Tommy Marquez & Sean Woodland,https://www.listennotes.com/podcasts/talking-elite-fitness-tommy-marquez-sean-ETug6ySdBsQ/,English,United States,"['Fitness', 'Health & Fitness', 'Professional', 'Sports']",352,2019,59,0.5
The Bill Simmons Podcast,The Ringer & Bill Simmons,https://www.listennotes.com/podcasts/the-bill-simmons-podcast-the-ringer-bill-L41xwrdlCPB/,English,United States,"['NBA', 'Sports', 'Professional']",922,2015,81,0.01
Slate Daily Feed,Slate Podcasts,https://www.listennotes.com/podcasts/slate-daily-feed-slate-podcasts-tSDl4sQKTvM/,English,United States,"['Business', 'Business News', 'News', 'Society & Culture']",580,2020,57,0.5
Vox Conversations,Vox,https://www.listennotes.com/podcasts/vox-conversations-vox-QBJp8Ejkiqt/,English,United States,"['Politics', 'News', 'Society & Culture', 'Philosophy', 'News Commentary']",479,2016,75,0.05
Moonshots Podcast: Learning Out Loud,Mike Parsons & Mark Pearson Freeland,https://www.listennotes.com/podcasts/moonshots-podcast-learning-out-loud-mike-OmKEFvDf-N4/,English,United States,"['Business', 'Entrepreneurship', 'Self-Help']",169,2017,45,1
The Dropout,ABC News,https://www.listennotes.com/podcasts/the-dropout-abc-news-cYQoILu9Kml/,English,United States,"['True Crime', 'Natural Sciences', 'News']",28,2019,82,0.01
Making Sense with Sam Harris,Sam Harris,https://www.listennotes.com/podcasts/making-sense-with-sam-harris-sam-harris-2T91wrX_URm/,English,United States,"['Science', 'Natural Sciences', 'Education', 'Higher Education', 'Religion & Spirituality', 'Society & Culture']",282,2013,84,0.01
Impact Theory with Tom Bilyeu,Impact Theory,https://www.listennotes.com/podcasts/impact-theory-with-tom-bilyeu-impact-theory-uiqpVkZ7Ud8/,English,United States,"['Health & Fitness', 'Self-Help', 'Business', 'Management', 'Education']",862,2017,71,0.05
Extraterrestrial,Parcast Network,https://www.listennotes.com/podcasts/extraterrestrial-parcast-network-Wmtz_Sqbxco/,English,United States,['Science'],100,2013,61,0.1
BEHIND THE SCENES,Jeremy & Audrey Roloff,https://www.listennotes.com/podcasts/behind-the-scenes-jeremy-audrey-roloff-ZF8iIe-thV6/,English,United States,"['Personal Journals', 'Society & Culture', 'Self-Help', 'Health & Fitness', 'Christianity', 'Religion & Spirituality']",95,2018,70,0.05
THE MEMORY OF… With John Galliano.,Maison Margiela,https://www.listennotes.com/podcasts/the-memory-of-with-john-galliano-maison-dDJ9mAcSBHk/,English,United States,"['Fashion & Beauty', 'Society & Culture', 'Arts']",13,2018,46,1
Freakonomics Radio,Freakonomics Radio + Stitcher,https://www.listennotes.com/podcasts/freakonomics-radio-freakonomics-radio-LIxRmU8oGZq/,English,United States,"['Personal Finance', 'AI & Data Science', 'Education', 'Management', 'Investing', 'Society & Culture', 'Business']",618,2010,85,0.01
"You're Killing Me, Grand Rapids",YKMGR (Dara & Kenny),https://www.listennotes.com/podcasts/youre-killing-me-grand-rapids-ykmgr-dara-hwNSHC9xPsQ/,English,United States,['Comedy'],26,2019,41,1.5
Super Soul,Oprah,https://www.listennotes.com/podcasts/super-soul-oprah-Gv-_hNgTmac/,English,United States,"['Mental Health', 'Self-Help', 'Business', 'Management', 'Religion & Spirituality', 'Health & Fitness', 'Society & Culture']",368,2017,84,0.01
Code Switch,NPR,https://www.listennotes.com/podcasts/code-switch-npr-yORrA0KnwqZ/,English,United States,"['Politics', 'News', 'Management', 'Society & Culture']",321,2016,78,0.01
The Read,Loud Speakers Network,https://www.listennotes.com/podcasts/the-read-loud-speakers-network-Kp-FswfTCg3/,English,United States,"['Comedy', 'Society & Culture', 'Sexuality', 'TV & Film', 'Arts', 'Fashion & Beauty', 'Music']",456,2013,83,0.01
Economic Rockstar,"Frank Conway - Economics and Finance Lecturer - interviews Dan Ariely, Deir",https://www.listennotes.com/podcasts/economic-rockstar-frank-conway-economics-Y_0iWQOqTdI/,English,United States,"['Business', 'Investing', 'Education', 'Higher Education', 'Society & Culture']",176,2014,45,1
Throughline,NPR,https://www.listennotes.com/podcasts/throughline-npr-MlL5vKFE79B/,English,United States,"['History', 'Politics', 'Education', 'Kids & Family', 'True Crime', 'Society & Culture']",165,2019,77,0.01
The GaryVee Audio Experience,Gary Vaynerchuk,https://www.listennotes.com/podcasts/the-garyvee-audio-experience-gary-vaynerchuk-X0Dfm7O_o3y/,English,United States,"['Business', 'Entrepreneurship', 'Investing', 'Marketing', 'Startup', 'Management', 'Professional', 'Sales', 'Technology', 'Business News']",2114,2014,82,0.01
Philosophize This!,Stephen West,https://www.listennotes.com/podcasts/philosophize-this-stephen-west-ivQCfmkqM_h/,English,United States,"['Education', 'History', 'Philosophy', 'Society & Culture', 'Comedy']",160,2013,79,0.01
Mobituaries with Mo Rocca,"CBS News, Inc.",https://www.listennotes.com/podcasts/mobituaries-with-mo-rocca-cbs-news-inc-4ng2S9OXrsB/,English,United States,"['History', 'Places & Travel', 'Society & Culture']",22,2019,78,0.01
90 Second Navigator Podcast,Joel Brookman,https://www.listennotes.com/podcasts/90-second-navigator-podcast-joel-brookman-YN9v183sRh4/,English,United States,"['Health & Fitness', 'Self-Help', 'Business', 'Careers', 'Education', 'Training']",96,2020,28,10
The Land of Desire: French History and Culture,Diana Stegall,https://www.listennotes.com/podcasts/the-land-of-desire-french-history-and-avOftuNiqPQ/,English,United States,"['Arts', 'Food', 'Society & Culture', 'Places & Travel', 'History']",74,2016,56,0.5
Still Processing,The New York Times,https://www.listennotes.com/podcasts/still-processing-the-new-york-times-qi-MxkwGbmQ/,English,United States,"['Politics', 'Movie', 'Society & Culture', 'News', 'Arts', 'Technology']",137,2016,75,0.01
Imaginary Advice,Imaginary Advice,https://www.listennotes.com/podcasts/imaginary-advice-imaginary-advice-RNqV8QBFl9Z/,English,United States,"['Fiction', 'Arts', 'Books']",91,2014,52,0.5
The Meb Faber Show,Meb Faber,https://www.listennotes.com/podcasts/the-meb-faber-show-meb-faber-JipcPNt6-Io/,English,United States,"['Personal Finance', 'Investing', 'Business', 'Management']",438,2016,60,0.5
Sorelle Amore Podcast,Sorelle Amore,https://www.listennotes.com/podcasts/sorelle-amore-podcast-sorelle-amore-P6-nwpDvxCy/,English,United States,"['Philosophy', 'Society & Culture', 'Education', 'Health & Fitness']",15,2019,47,1
The James Altucher Show,James Altucher,https://www.listennotes.com/podcasts/the-james-altucher-show-james-altucher-sSHocv8YjIe/,English,United States,"['Entrepreneurship', 'Business', 'Startup', 'Health & Fitness', 'Self-Help', 'Careers', 'Investing']",953,2014,67,0.05
My Kind Of Richmonders,My Kind Of Richmond...ers,https://www.listennotes.com/podcasts/my-kind-of-richmonders-my-kind-of-richmonders-UEAq1D06W37/,English,United States,['Society & Culture'],18,2018,25,10
David Tennant Does a Podcast With…,Somethin' Else & No Mystery,https://www.listennotes.com/podcasts/david-tennant-does-a-podcast-with-somethin-fU-CvBJpbrn/,English,United States,"['Arts', 'Visual Arts', 'Performing Arts', 'TV & Film']",32,2019,76,0.01
TED Radio Hour,NPR,https://www.listennotes.com/podcasts/ted-radio-hour-npr-NmZG6qyiMA4/,English,United States,"['Mental Health', 'Technology', 'Kids & Family', 'Management', 'Business', 'Education', 'Arts', 'Society & Culture', 'Design', 'History']",233,2017,81,0.01
The Rachel Cruze Show,Ramsey Network,https://www.listennotes.com/podcasts/the-rachel-cruze-show-ramsey-network-1dri3CsD5-6/,English,United States,"['Society & Culture', 'Business']",97,2018,64,0.1
Love In Brief,ResonantYes & roadnottaken,https://www.listennotes.com/podcasts/love-in-brief-resonantyes-roadnottaken-Q6Hnz_KZULS/,English,United States,"['Health & Fitness', 'Sexuality']",103,2018,38,2.5
Impaulsive with Logan Paul,Logan Paul,https://www.listennotes.com/podcasts/impaulsive-with-logan-paul-logan-paul-q9or5TkupHG/,English,United States,"['Comedy', 'Society & Culture', 'Sports']",307,2018,78,0.01
Sword and Scale True Crime,Incongruity,https://www.listennotes.com/podcasts/sword-and-scale-true-crime-incongruity-yMAk25ILerd/,English,United States,"['True Crime', 'TV & Film', 'News', 'Science', 'Social Sciences', 'Society & Culture', 'Personal Journals']",149,2016,88,0.01
Words Matter,Katie Barlow,https://www.listennotes.com/podcasts/words-matter-katie-barlow-C6q2cGXSIRD/,English,United States,"['History', 'Society & Culture', 'News', 'TV & Film']",265,2018,64,0.1
Pardon My Take,Barstool Sports,https://www.listennotes.com/podcasts/pardon-my-take-barstool-sports-x6BJ0rtC4dN/,English,United States,"['Comedy', 'Sports', 'Football', 'Society & Culture']",563,2018,87,0.01
the memory palace,Nate DiMeo,https://www.listennotes.com/podcasts/the-memory-palace-nate-dimeo-lj9Ba87tVAT/,English,United States,"['History', 'Education', 'Arts', 'Society & Culture']",235,2008,75,0.05
Up First,NPR,https://www.listennotes.com/podcasts/up-first-npr-e0zpMGZKNYd/,English,United States,"['Politics', 'News', 'Business', 'Investing']",981,2019,86,0.01
"My Brother, My Brother And Me",The McElroys,https://www.listennotes.com/podcasts/my-brother-my-brother-and-me-the-mcelroys-OaUbgcPeMkj/,English,United States,"['Comedy', 'TV & Film', 'YouTube']",603,2010,84,0.01
Bad Examples w/ Tracy DiMarco & Jessica Romano,DimlyWit,https://www.listennotes.com/podcasts/bad-examples-w-tracy-dimarco-jessica-romano-HADTuJaFNwZ/,English,United States,['TV & Film'],159,2018,65,0.1
The Constant: A History of Getting Things Wrong,Mark Chrisler,https://www.listennotes.com/podcasts/the-constant-a-history-of-getting-things-TxwzNZVaI_q/,English,United States,"['Arts', 'Design', 'Science', 'Natural Sciences', 'Society & Culture', 'History']",179,2017,57,0.5
Origin Stories,The Leakey Foundation,https://www.listennotes.com/podcasts/origin-stories-the-leakey-foundation-WvAg8lNPxdS/,English,United States,"['Science', 'Natural Sciences', 'Education', 'Higher Education', 'Government', 'Non-Profit']",64,2015,51,0.5
Stuff They Don't Want You To Know,iHeartPodcasts,https://www.listennotes.com/podcasts/stuff-they-dont-want-you-to-know-gAqQ83D1_X2/,English,United States,['Society & Culture'],892,2013,73,0.05
Over My Dead Body,Wondery,https://www.listennotes.com/podcasts/over-my-dead-body-wondery-ca54oTHGPx-/,English,United States,"['True Crime', 'Society & Culture']",31,2019,82,0.01
Up and Vanished,Tenderfoot TV,https://www.listennotes.com/podcasts/up-and-vanished-tenderfoot-tv-jD-RZq8WHxY/,English,United States,"['True Crime', 'TV & Film', 'News', 'Society & Culture', 'Personal Journals']",146,2016,88,0.01
